Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_007R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",2,True,0.27024340629577637,0.0,0,11.627906976744185,10,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Minst antal dagar mellan sista behandling och skörd","Hur länge måste man vänta med skörd, efter applicering av Mavrik?","Passage: Reg nr: 4491, Produktnamn: Mavrik

Datum: : 2025-06-17          Regnr: 4491
                                                                                       Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218



Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                    metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                           behandling      Produkt     Verksamt ämne
                                                                                                 och skörd

Bönor -               Mot         Bomspruta    BBCH 50–79    2 per år    14            14             0,2 L/ha   48 g tau-
torkade                   insekts-                                                                                                            fluvalinat/ha
                      angrepp
Huvudkål,             Mot         Bomspruta    BBCH 10–49    1 per år                  7              0,3 L/ha   72 g tau-
brysselkål,                insekts-                                                                                                            fluvalinat/ha
blomkål och            angrepp
broccoli
Äpple och             Mot          Fläktspruta    BBCH 52–79    2 per år    10            30             0,3 L/ha   72 g tau-
päron                     insekts-                                                                                                            fluvalinat/ha
                      angrepp
Morot                Mot         Bomspruta    BBCH 10–45    2 per år    10            14             0,3 L/ha   72 g tau-         Antalet behand-
                        morots-                                                                                                            fluvalinat/ha      lingar per år med
                        bladloppa                                                                                            denna produkt får
                                                                                                                                                                     aldrig vara fler än
                                                                                                                                                                     två, oavsett om du
                                                                                                                                                                                        följer produktens
                                                                                                                                                                                etikett och
                                                                                                                                             bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade
                                                                                                                                                  produkt-
                                                                                                                               godkännandet för
                                                                                                                                    mindre använd-
                                                                                                                                     ningsområde.
Socker-,              Mot         Bomspruta    BBCH 09–39    2 per år    10            14             0,2 L/ha   48 g tau-         Antalet behand-
foder- och                betfluga                                                                                                            fluvalinat/ha      lingar per år med
rödbetor              (Pegomya                                                                                           denna produkt får
                       hyoscyami)                                                                                                                            aldrig vara fler än
                     och                                                                                                                                     två, oavsett om du
                         betbladlus                                                                                                                                            följer produktens
                        (Aphis                                                                                                                                          etikett och
                        fabae)                                                                                                               bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade


                                                                                                                                    2 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_007R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.28410834074020386,0.0,0,11.627906976744185,10,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Minst antal dagar mellan sista behandling och skörd","Hur länge måste man vänta med skörd, efter applicering av Mavrik?","Passage: Reg nr: 4491, Produktnamn: Mavrik

Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
  situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                     metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                             behandling      Produkt     Verksamt ämne
                                                                                                  och skörd

 Höstvete,             Mot         Bomspruta    BBCH 10–75    3 per      10            30             0,2 L/ha    48 g tau-      Max 1 applicering
 höstråg,                  insekts-                                  säsong                                                         fluvalinat/ha     på hösten och 2
 höstrågvete            angrepp                                                                                                                      appliceringar på
 och höstkorn                                                                                                                             våren
 Vårvete,              Mot         Bomspruta    BBCH 10–75    2 per år    10            30             0,2 L/ha    48 g tau-
 vårråg,                    insekts-                                                                                                              fluvalinat/ha
 vårrågvete,             angrepp
 vårkorn och
 havre
 Lin, raps och           Mot         Bomspruta    BBCH 10–19    1 per år                  60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Raps och             Mot         Bomspruta    BBCH 30–71    2 per år    7             60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Potatis               Mot         Bomspruta    BBCH 12–49    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor - färska          Mot         Bomspruta    BBCH 10–79    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor -                Mot         Bomspruta    BBCH 10–79    2 per år    14            14             0,2 L/ha   48 g tau-
 torkade                   insekts-                                                                                                            fluvalinat/ha
                       angrepp



                                                                                                                                     1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_007R3,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]","3,4",True,0.31881022453308105,0.0,0,11.627906976744185,10,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Minst antal dagar mellan sista behandling och skörd","Hur länge måste man vänta med skörd, efter applicering av Mavrik?","Passage: Reg nr: 4491, Produktnamn: Mavrik

Datum: : 2025-06-17          Regnr: 4491
                                                                                       Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218



Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                    metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                           behandling      Produkt     Verksamt ämne
                                                                                                 och skörd

                                                                                                                                                  produkt-
                                                                                                                               godkännandet för
                                                                                                                                    mindre använd-
                                                                                                                                     ningsområde.





                                                                                                                                    3 (4) Datum: : 2025-06-17          Regnr: 4491
                                                                                        Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218


Ytterligare villkor

 Kategori                       Villkor                                                                               Anmärkning                           Ändring",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk3,No LLM answer
DC_4491_007R4,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",4,False,0.3209555745124817,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Minst antal dagar mellan sista behandling och skörd","Hur länge måste man vänta med skörd, efter applicering av Mavrik?","Passage: Reg nr: 4491, Produktnamn: Mavrik

Personlig                Skyddshandskar ska användas vid hantering av produkten samt vid arbetsmoment som innebär      Villkoret är till för att skydda mot
 skyddsutrustning             risk för kontakt med brukslösning eller sprutdimma.                                             växtskyddsmedlets hälsorisker.
                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Vid arbete med            Vid arbete med behandlade växtdelar ska arbetskläder (som täcker armar, ben och bål) användas    Villkoret är till för att skydda mot
 behandlade växtdelar i     under de första 15 dygnen.                                                                  växtskyddsmedlets hälsorisker.
 fruktodling               Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Vid återinträde i            Arbetskläder (som täcker armar, ben och bål) ska användas vid återinträde i behandlade områden    Villkoret är till för att skydda mot
 behandlade områden      under de första 60 dygnen efter behandling.                                                   växtskyddsmedlets hälsorisker.
                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Spridningsutrustning vid    Vid spridning närmare än 100 m från sjöar, vattendrag eller öppna diken ska utrustning som           Villkoret är till för att skydda människors
 användning med           reducerar avdriften med minst 99 % användas. I andra fall ska utrustning som reducerar avdriften    hälsa, insekter utanför fältet och
 fläktspruta            med minst 90 % användas.                                                                     vattenlevande organismer.
 Anpassade                   Ett anpassat skyddsavstånd ska bestämmas med hjälp av ""Hjälpreda vid bestämning av               Villkoret är till för att skydda människor i
 skyddsavstånd vid        anpassade skyddsavstånd. Fläktspruta i fruktodling"".                                            närområdet, insekter utanför fältet och
 spridning med fläktspruta                                                                                                 vattenlevande organismer.
 Anpassade                   Ett anpassat skyddsavstånd ska bestämmas med hjälp av ""Hjälpreda vid bestämning av               Villkoret är till för att skydda
 skyddsavstånd vid        anpassade skyddsavstånd. Lantbruksspruta med bom”.                                          vattenlevande organismer och insekter
 spridning med bomspruta   Skyddsavståndet ska alltid bestämmas genom avläsning i kolumnen ""särskild hänsyn"" i Hjälpredan.   utanför fältet.",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk4,No LLM answer
DC_4491_007R5,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",1,False,0.36219531297683716,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Minst antal dagar mellan sista behandling och skörd","Hur länge måste man vänta med skörd, efter applicering av Mavrik?","Passage: Reg nr: 4491, Produktnamn: Mavrik

BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Ombud                            ---
 Funktion               IN – Insekticid
 Produktkod             MCW-5022

 Beredningsform            EW-Emulsion, olja i vatten

 Förpackningsvillkor        Upp till 5 L HDPE-förpackningar.

 Märkningskrav                 Sista användningsdag vid rekommenderade lagringsförhållanden
                            ska anges i märkningen.
                    Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag är 2 år efter tillverkning.
                       SP1 Förorena inte vatten med produkten eller dess behållare.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Tau-fluvalinat                        102851-06-9    240  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_008R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,[2],2,True,0.28484559059143066,21.05263157894737,8,10.526315789473685,4,False,False,Medium,Mavrik,2 per år. Tebell: Användning och syfte,Hur många behandlingar är tillåtna per år med Mavrik på Morötter?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

Datum: : 2025-06-17          Regnr: 4491
                                                                                       Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218



Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                    metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                           behandling      Produkt     Verksamt ämne
                                                                                                 och skörd

Bönor -               Mot         Bomspruta    BBCH 50–79    2 per år    14            14             0,2 L/ha   48 g tau-
torkade                   insekts-                                                                                                            fluvalinat/ha
                      angrepp
Huvudkål,             Mot         Bomspruta    BBCH 10–49    1 per år                  7              0,3 L/ha   72 g tau-
brysselkål,                insekts-                                                                                                            fluvalinat/ha
blomkål och            angrepp
broccoli
Äpple och             Mot          Fläktspruta    BBCH 52–79    2 per år    10            30             0,3 L/ha   72 g tau-
päron                     insekts-                                                                                                            fluvalinat/ha
                      angrepp
Morot                Mot         Bomspruta    BBCH 10–45    2 per år    10            14             0,3 L/ha   72 g tau-         Antalet behand-
                        morots-                                                                                                            fluvalinat/ha      lingar per år med
                        bladloppa                                                                                            denna produkt får
                                                                                                                                                                     aldrig vara fler än
                                                                                                                                                                     två, oavsett om du
                                                                                                                                                                                        följer produktens
                                                                                                                                                                                etikett och
                                                                                                                                             bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade
                                                                                                                                                  produkt-
                                                                                                                               godkännandet för
                                                                                                                                    mindre använd-
                                                                                                                                     ningsområde.
Socker-,              Mot         Bomspruta    BBCH 09–39    2 per år    10            14             0,2 L/ha   48 g tau-         Antalet behand-
foder- och                betfluga                                                                                                            fluvalinat/ha      lingar per år med
rödbetor              (Pegomya                                                                                           denna produkt får
                       hyoscyami)                                                                                                                            aldrig vara fler än
                     och                                                                                                                                     två, oavsett om du
                         betbladlus                                                                                                                                            följer produktens
                        (Aphis                                                                                                                                          etikett och
                        fabae)                                                                                                               bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade


                                                                                                                                    2 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_008R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,[2],"3,4",False,0.31831789016723633,0.0,0,10.526315789473685,4,False,False,Medium,Mavrik,2 per år. Tebell: Användning och syfte,Hur många behandlingar är tillåtna per år med Mavrik på Morötter?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

Datum: : 2025-06-17          Regnr: 4491
                                                                                       Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218



Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                    metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                           behandling      Produkt     Verksamt ämne
                                                                                                 och skörd

                                                                                                                                                  produkt-
                                                                                                                               godkännandet för
                                                                                                                                    mindre använd-
                                                                                                                                     ningsområde.





                                                                                                                                    3 (4) Datum: : 2025-06-17          Regnr: 4491
                                                                                        Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218


Ytterligare villkor

 Kategori                       Villkor                                                                               Anmärkning                           Ändring",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk3,No LLM answer
DC_4491_008R3,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,[2],1,False,0.34366172552108765,21.05263157894737,8,50.0,19,False,True,Medium,Mavrik,2 per år. Tebell: Användning och syfte,Hur många behandlingar är tillåtna per år med Mavrik på Morötter?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
  situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                     metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                             behandling      Produkt     Verksamt ämne
                                                                                                  och skörd

 Höstvete,             Mot         Bomspruta    BBCH 10–75    3 per      10            30             0,2 L/ha    48 g tau-      Max 1 applicering
 höstråg,                  insekts-                                  säsong                                                         fluvalinat/ha     på hösten och 2
 höstrågvete            angrepp                                                                                                                      appliceringar på
 och höstkorn                                                                                                                             våren
 Vårvete,              Mot         Bomspruta    BBCH 10–75    2 per år    10            30             0,2 L/ha    48 g tau-
 vårråg,                    insekts-                                                                                                              fluvalinat/ha
 vårrågvete,             angrepp
 vårkorn och
 havre
 Lin, raps och           Mot         Bomspruta    BBCH 10–19    1 per år                  60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Raps och             Mot         Bomspruta    BBCH 30–71    2 per år    7             60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Potatis               Mot         Bomspruta    BBCH 12–49    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor - färska          Mot         Bomspruta    BBCH 10–79    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor -                Mot         Bomspruta    BBCH 10–79    2 per år    14            14             0,2 L/ha   48 g tau-
 torkade                   insekts-                                                                                                            fluvalinat/ha
                       angrepp



                                                                                                                                     1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_008R4,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,[2],4,False,0.408100426197052,0.0,0,0.0,0,True,False,Medium,Mavrik,2 per år. Tebell: Användning och syfte,Hur många behandlingar är tillåtna per år med Mavrik på Morötter?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

Personlig                Skyddshandskar ska användas vid hantering av produkten samt vid arbetsmoment som innebär      Villkoret är till för att skydda mot
 skyddsutrustning             risk för kontakt med brukslösning eller sprutdimma.                                             växtskyddsmedlets hälsorisker.
                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Vid arbete med            Vid arbete med behandlade växtdelar ska arbetskläder (som täcker armar, ben och bål) användas    Villkoret är till för att skydda mot
 behandlade växtdelar i     under de första 15 dygnen.                                                                  växtskyddsmedlets hälsorisker.
 fruktodling               Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Vid återinträde i            Arbetskläder (som täcker armar, ben och bål) ska användas vid återinträde i behandlade områden    Villkoret är till för att skydda mot
 behandlade områden      under de första 60 dygnen efter behandling.                                                   växtskyddsmedlets hälsorisker.
                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Spridningsutrustning vid    Vid spridning närmare än 100 m från sjöar, vattendrag eller öppna diken ska utrustning som           Villkoret är till för att skydda människors
 användning med           reducerar avdriften med minst 99 % användas. I andra fall ska utrustning som reducerar avdriften    hälsa, insekter utanför fältet och
 fläktspruta            med minst 90 % användas.                                                                     vattenlevande organismer.
 Anpassade                   Ett anpassat skyddsavstånd ska bestämmas med hjälp av ""Hjälpreda vid bestämning av               Villkoret är till för att skydda människor i
 skyddsavstånd vid        anpassade skyddsavstånd. Fläktspruta i fruktodling"".                                            närområdet, insekter utanför fältet och
 spridning med fläktspruta                                                                                                 vattenlevande organismer.
 Anpassade                   Ett anpassat skyddsavstånd ska bestämmas med hjälp av ""Hjälpreda vid bestämning av               Villkoret är till för att skydda
 skyddsavstånd vid        anpassade skyddsavstånd. Lantbruksspruta med bom”.                                          vattenlevande organismer och insekter
 spridning med bomspruta   Skyddsavståndet ska alltid bestämmas genom avläsning i kolumnen ""särskild hänsyn"" i Hjälpredan.   utanför fältet.",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk4,No LLM answer
DC_4491_008R5,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,[2],4,False,0.4143807888031006,0.0,0,0.0,0,True,False,Medium,Mavrik,2 per år. Tebell: Användning och syfte,Hur många behandlingar är tillåtna per år med Mavrik på Morötter?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

Spridningsutrustning vid    Vid spridning närmare än 100 m från sjöar, vattendrag eller öppna diken ska utrustning som           Villkoret är till för att skydda
 användning med           reducerar avdriften med minst 50 % användas.                                                  vattenlevande organismer.
 bomspruta i odlingar av    Skyddsavstånden i hjälpredan ska då läsas i kolumnen för grov duschkvalitet.
 betor
 Spridningsutrustning vid    Vid spridning närmare än 100 m från sjöar, vattendrag eller öppna diken ska utrustning som            Villkoret är till för att skydda
 användning med           reducerar avdriften med minst 75 % användas.                                                  vattenlevande organismer.
 bomspruta i odlingar av                         Skyddsavstånden i hjälpredan ska då läsas i kolumnen för grov duschkvalitet.
 morötter
 Tillredning av             Produkten ska skakas före användning.                                                                     Villkoret är till för att produkten ska vara
 brukslösning                                                                                       homogen vid tillredning av
                                                                                                                                brukslösning.
 Hantering av              Brukslösningen ska vara under kontinuerlig omrörning under transport och spridning.                   Villkoret krävs för att brukslösningen
 brukslösning                                                                                                   ska vara homogen under tillredning och
                                                                                                                                      spridning. 4 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk5,No LLM answer
DC_4491_009R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,[1],2,False,0.22424650192260742,39.130434782608695,9,0.0,0,False,False,Hard,Mavrik,48 g tau-fluvalinat/ha. Tabell: Användning och syfte,Vilken är den maximala dosen av tau-fluvalinat per hektar vid behandling av potatis med Mavrik?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

Datum: : 2025-06-17          Regnr: 4491
                                                                                       Aktnr: F-1759                   Diarienr: 5.1.1-B25-00218



Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                    metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                           behandling      Produkt     Verksamt ämne
                                                                                                 och skörd

Bönor -               Mot         Bomspruta    BBCH 50–79    2 per år    14            14             0,2 L/ha   48 g tau-
torkade                   insekts-                                                                                                            fluvalinat/ha
                      angrepp
Huvudkål,             Mot         Bomspruta    BBCH 10–49    1 per år                  7              0,3 L/ha   72 g tau-
brysselkål,                insekts-                                                                                                            fluvalinat/ha
blomkål och            angrepp
broccoli
Äpple och             Mot          Fläktspruta    BBCH 52–79    2 per år    10            30             0,3 L/ha   72 g tau-
päron                     insekts-                                                                                                            fluvalinat/ha
                      angrepp
Morot                Mot         Bomspruta    BBCH 10–45    2 per år    10            14             0,3 L/ha   72 g tau-         Antalet behand-
                        morots-                                                                                                            fluvalinat/ha      lingar per år med
                        bladloppa                                                                                            denna produkt får
                                                                                                                                                                     aldrig vara fler än
                                                                                                                                                                     två, oavsett om du
                                                                                                                                                                                        följer produktens
                                                                                                                                                                                etikett och
                                                                                                                                             bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade
                                                                                                                                                  produkt-
                                                                                                                               godkännandet för
                                                                                                                                    mindre använd-
                                                                                                                                     ningsområde.
Socker-,              Mot         Bomspruta    BBCH 09–39    2 per år    10            14             0,2 L/ha   48 g tau-         Antalet behand-
foder- och                betfluga                                                                                                            fluvalinat/ha      lingar per år med
rödbetor              (Pegomya                                                                                           denna produkt får
                       hyoscyami)                                                                                                                            aldrig vara fler än
                     och                                                                                                                                     två, oavsett om du
                         betbladlus                                                                                                                                            följer produktens
                        (Aphis                                                                                                                                          etikett och
                        fabae)                                                                                                               bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade


                                                                                                                                    2 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk2,No LLM answer
